Từ tiếng Việt,Sắc thái/Nhóm,Nghĩa tiếng Anh
không hiệu quả cực kỳ,Tiêu cực/Nhấn mạnh,Not effective extremely
không phù hợp quá,Tiêu cực/Nhấn mạnh,Not suitable too much / extremely
không phù hợp lắm,Tiêu cực/Nhấn mạnh,Not suitable very much
không phù hợp cực kỳ,Tiêu cực/Nhấn mạnh,Not suitable extremely
không chất lượng cao quá,Tiêu cực/Nhấn mạnh,Not high quality too much / extremely
không chất lượng cao lắm,Tiêu cực/Nhấn mạnh,Not high quality very much
không chất lượng cao cực kỳ,Tiêu cực/Nhấn mạnh,Not high quality extremely
không dẫn đầu quá,Tiêu cực/Nhấn mạnh,Not leading too much / extremely
không dẫn đầu lắm,Tiêu cực/Nhấn mạnh,Not leading very much
không dẫn đầu cực kỳ,Tiêu cực/Nhấn mạnh,Not leading extremely
không linh hoạt quá,Tiêu cực/Nhấn mạnh,Not flexible too much / extremely
không linh hoạt lắm,Tiêu cực/Nhấn mạnh,Not flexible very much
không linh hoạt cực kỳ,Tiêu cực/Nhấn mạnh,Not flexible extremely
không chủ lực quá,Tiêu cực/Nhấn mạnh,Not core/pillar too much / extremely
không chủ lực lắm,Tiêu cực/Nhấn mạnh,Not core/pillar very much
không chủ lực cực kỳ,Tiêu cực/Nhấn mạnh,Not core/pillar extremely
không vững mạnh quá,Tiêu cực/Nhấn mạnh,Not strong/healthy too much / extremely
không vững mạnh lắm,Tiêu cực/Nhấn mạnh,Not strong/healthy very much
không vững mạnh cực kỳ,Tiêu cực/Nhấn mạnh,Not strong/healthy extremely
không an toàn quá,Tiêu cực/Nhấn mạnh,Not safe/secure too much / extremely
không an toàn lắm,Tiêu cực/Nhấn mạnh,Not safe/secure very much
không an toàn cực kỳ,Tiêu cực/Nhấn mạnh,Not safe/secure extremely
không bền vững quá,Tiêu cực/Nhấn mạnh,Not sustainable too much / extremely
không bền vững lắm,Tiêu cực/Nhấn mạnh,Not sustainable very much
không bền vững cực kỳ,Tiêu cực/Nhấn mạnh,Not sustainable extremely
không đột phá quá,Tiêu cực/Nhấn mạnh,Not breakthrough too much / extremely
không đột phá lắm,Tiêu cực/Nhấn mạnh,Not breakthrough very much
không đột phá cực kỳ,Tiêu cực/Nhấn mạnh,Not breakthrough extremely
không uy tín quá,Tiêu cực/Nhấn mạnh,Not reputable too much / extremely
không uy tín lắm,Tiêu cực/Nhấn mạnh,Not reputable very much
không uy tín cực kỳ,Tiêu cực/Nhấn mạnh,Not reputable extremely
không niềm tin quá,Tiêu cực/Nhấn mạnh,Not trust/confidence too much / extremely
không niềm tin lắm,Tiêu cực/Nhấn mạnh,Not trust/confidence very much
không niềm tin cực kỳ,Tiêu cực/Nhấn mạnh,Not trust/confidence extremely
không tiên phong quá,Tiêu cực/Nhấn mạnh,Not pioneering/advanced too much / extremely
không tiên phong lắm,Tiêu cực/Nhấn mạnh,Not pioneering/advanced very much
không tiên phong cực kỳ,Tiêu cực/Nhấn mạnh,Not pioneering/advanced extremely
không hiện đại quá,Tiêu cực/Nhấn mạnh,Not modern too much / extremely
không hiện đại lắm,Tiêu cực/Nhấn mạnh,Not modern very much
không hiện đại cực kỳ,Tiêu cực/Nhấn mạnh,Not modern extremely
không tinh gọn quá,Tiêu cực/Nhấn mạnh,Not lean too much / extremely
không tinh gọn lắm,Tiêu cực/Nhấn mạnh,Not lean very much
không tinh gọn cực kỳ,Tiêu cực/Nhấn mạnh,Not lean extremely
không chuyên nghiệp quá,Tiêu cực/Nhấn mạnh,Not professional too much / extremely
không chuyên nghiệp lắm,Tiêu cực/Nhấn mạnh,Not professional very much
không chuyên nghiệp cực kỳ,Tiêu cực/Nhấn mạnh,Not professional extremely
không minh bạch quá,Tiêu cực/Nhấn mạnh,Not transparent too much / extremely
không minh bạch lắm,Tiêu cực/Nhấn mạnh,Not transparent very much
không minh bạch cực kỳ,Tiêu cực/Nhấn mạnh,Not transparent extremely
không quyết tâm quá,Tiêu cực/Nhấn mạnh,Not determined too much / extremely
không quyết tâm lắm,Tiêu cực/Nhấn mạnh,Not determined very much
không quyết tâm cực kỳ,Tiêu cực/Nhấn mạnh,Not determined extremely
không năng động quá,Tiêu cực/Nhấn mạnh,Not dynamic too much / extremely
không năng động lắm,Tiêu cực/Nhấn mạnh,Not dynamic very much
không năng động cực kỳ,Tiêu cực/Nhấn mạnh,Not dynamic extremely
không tự hào quá,Tiêu cực/Nhấn mạnh,Not proud too much / extremely
không tự hào lắm,Tiêu cực/Nhấn mạnh,Not proud very much
không tự hào cực kỳ,Tiêu cực/Nhấn mạnh,Not proud extremely
không nhiệt huyết quá,Tiêu cực/Nhấn mạnh,Not passionate too much / extremely
không nhiệt huyết lắm,Tiêu cực/Nhấn mạnh,Not passionate very much
không nhiệt huyết cực kỳ,Tiêu cực/Nhấn mạnh,Not passionate extremely
không yêu thích quá,Tiêu cực/Nhấn mạnh,Not love/like too much / extremely
không yêu thích lắm,Tiêu cực/Nhấn mạnh,Not love/like very much
không yêu thích cực kỳ,Tiêu cực/Nhấn mạnh,Not love/like extremely
không hài lòng quá,Tiêu cực/Nhấn mạnh,Not satisfied too much / extremely
không hài lòng lắm,Tiêu cực/Nhấn mạnh,Not satisfied very much
không hài lòng cực kỳ,Tiêu cực/Nhấn mạnh,Not satisfied extremely
không vui sướng quá,Tiêu cực/Nhấn mạnh,Not joyful/delighted too much / extremely
không vui sướng lắm,Tiêu cực/Nhấn mạnh,Not joyful/delighted very much
không vui sướng cực kỳ,Tiêu cực/Nhấn mạnh,Not joyful/delighted extremely
không hạnh phúc quá,Tiêu cực/Nhấn mạnh,Not happy too much / extremely
không hạnh phúc lắm,Tiêu cực/Nhấn mạnh,Not happy very much
không hạnh phúc cực kỳ,Tiêu cực/Nhấn mạnh,Not happy extremely
không tin tưởng quá,Tiêu cực/Nhấn mạnh,Not trustful too much / extremely
không tin tưởng lắm,Tiêu cực/Nhấn mạnh,Not trustful very much
không tin tưởng cực kỳ,Tiêu cực/Nhấn mạnh,Not trustful extremely
không ngưỡng mộ quá,Tiêu cực/Nhấn mạnh,Not admire too much / extremely
không ngưỡng mộ lắm,Tiêu cực/Nhấn mạnh,Not admire very much
không ngưỡng mộ cực kỳ,Tiêu cực/Nhấn mạnh,Not admire extremely
không cảm kích quá,Tiêu cực/Nhấn mạnh,Not grateful too much / extremely
không cảm kích lắm,Tiêu cực/Nhấn mạnh,Not grateful very much
không cảm kích cực kỳ,Tiêu cực/Nhấn mạnh,Not grateful extremely
không lạc quan quá,Tiêu cực/Nhấn mạnh,Not optimistic too much / extremely
không lạc quan lắm,Tiêu cực/Nhấn mạnh,Not optimistic very much
không lạc quan cực kỳ,Tiêu cực/Nhấn mạnh,Not optimistic extremely
không an tâm quá,Tiêu cực/Nhấn mạnh,Not reassured too much / extremely
không an tâm lắm,Tiêu cực/Nhấn mạnh,Not reassured very much
không an tâm cực kỳ,Tiêu cực/Nhấn mạnh,Not reassured extremely
không thân thiện quá,Tiêu cực/Nhấn mạnh,Not friendly too much / extremely
không thân thiện lắm,Tiêu cực/Nhấn mạnh,Not friendly very much
không thân thiện cực kỳ,Tiêu cực/Nhấn mạnh,Not friendly extremely
không mến khách quá,Tiêu cực/Nhấn mạnh,Not hospitable too much / extremely
không mến khách lắm,Tiêu cực/Nhấn mạnh,Not hospitable very much
không mến khách cực kỳ,Tiêu cực/Nhấn mạnh,Not hospitable extremely
không hào hứng quá,Tiêu cực/Nhấn mạnh,Not excited too much / extremely
không hào hứng lắm,Tiêu cực/Nhấn mạnh,Not excited very much
không hào hứng cực kỳ,Tiêu cực/Nhấn mạnh,Not excited extremely
không phấn khởi quá,Tiêu cực/Nhấn mạnh,Not elated too much / extremely
không phấn khởi lắm,Tiêu cực/Nhấn mạnh,Not elated very much
không phấn khởi cực kỳ,Tiêu cực/Nhấn mạnh,Not elated extremely
không may mắn quá,Tiêu cực/Nhấn mạnh,Not lucky/fortunate too much / extremely
không may mắn lắm,Tiêu cực/Nhấn mạnh,Not lucky/fortunate very much
không may mắn cực kỳ,Tiêu cực/Nhấn mạnh,Not lucky/fortunate extremely
không vinh dự quá,Tiêu cực/Nhấn mạnh,Not honored too much / extremely
không vinh dự lắm,Tiêu cực/Nhấn mạnh,Not honored very much
không vinh dự cực kỳ,Tiêu cực/Nhấn mạnh,Not honored extremely
không tuyệt vời quá,Tiêu cực/Nhấn mạnh,Not wonderful/excellent too much / extremely
không tuyệt vời lắm,Tiêu cực/Nhấn mạnh,Not wonderful/excellent very much
không tuyệt vời cực kỳ,Tiêu cực/Nhấn mạnh,Not wonderful/excellent extremely
không xuất sắc quá,Tiêu cực/Nhấn mạnh,Not outstanding too much / extremely
không xuất sắc lắm,Tiêu cực/Nhấn mạnh,Not outstanding very much
không xuất sắc cực kỳ,Tiêu cực/Nhấn mạnh,Not outstanding extremely
không hoàn hảo quá,Tiêu cực/Nhấn mạnh,Not perfect too much / extremely
không hoàn hảo lắm,Tiêu cực/Nhấn mạnh,Not perfect very much
không hoàn hảo cực kỳ,Tiêu cực/Nhấn mạnh,Not perfect extremely
không thỏa mãn quá,Tiêu cực/Nhấn mạnh,Not contented/satisfied too much / extremely
không thỏa mãn lắm,Tiêu cực/Nhấn mạnh,Not contented/satisfied very much
không thỏa mãn cực kỳ,Tiêu cực/Nhấn mạnh,Not contented/satisfied extremely
không yêu mến quá,Tiêu cực/Nhấn mạnh,Not beloved too much / extremely
không yêu mến lắm,Tiêu cực/Nhấn mạnh,Not beloved very much
không yêu mến cực kỳ,Tiêu cực/Nhấn mạnh,Not beloved extremely
không trân trọng quá,Tiêu cực/Nhấn mạnh,Not appreciative too much / extremely
không trân trọng lắm,Tiêu cực/Nhấn mạnh,Not appreciative very much
không trân trọng cực kỳ,Tiêu cực/Nhấn mạnh,Not appreciative extremely
không kính trọng quá,Tiêu cực/Nhấn mạnh,Not respectful too much / extremely
không kính trọng lắm,Tiêu cực/Nhấn mạnh,Not respectful very much
không kính trọng cực kỳ,Tiêu cực/Nhấn mạnh,Not respectful extremely
không khâm phục quá,Tiêu cực/Nhấn mạnh,Not admirable too much / extremely
không khâm phục lắm,Tiêu cực/Nhấn mạnh,Not admirable very much
không khâm phục cực kỳ,Tiêu cực/Nhấn mạnh,Not admirable extremely
không ấm áp quá,Tiêu cực/Nhấn mạnh,Not warm too much / extremely
không ấm áp lắm,Tiêu cực/Nhấn mạnh,Not warm very much
không ấm áp cực kỳ,Tiêu cực/Nhấn mạnh,Not warm extremely
không bình yên quá,Tiêu cực/Nhấn mạnh,Not peaceful too much / extremely
không bình yên lắm,Tiêu cực/Nhấn mạnh,Not peaceful very much
không bình yên cực kỳ,Tiêu cực/Nhấn mạnh,Not peaceful extremely
không vui vẻ quá,Tiêu cực/Nhấn mạnh,Not cheerful too much / extremely
không vui vẻ lắm,Tiêu cực/Nhấn mạnh,Not cheerful very much
không vui vẻ cực kỳ,Tiêu cực/Nhấn mạnh,Not cheerful extremely
không ngập tràn niềm vui quá,Tiêu cực/Nhấn mạnh,Not joyous too much / extremely
không ngập tràn niềm vui lắm,Tiêu cực/Nhấn mạnh,Not joyous very much
không ngập tràn niềm vui cực kỳ,Tiêu cực/Nhấn mạnh,Not joyous extremely
không khấp khởi quá,Tiêu cực/Nhấn mạnh,Not expectantly joyful too much / extremely
không khấp khởi lắm,Tiêu cực/Nhấn mạnh,Not expectantly joyful very much
không khấp khởi cực kỳ,Tiêu cực/Nhấn mạnh,Not expectantly joyful extremely
không hân hoan quá,Tiêu cực/Nhấn mạnh,Not jubilant too much / extremely
không hân hoan lắm,Tiêu cực/Nhấn mạnh,Not jubilant very much
không hân hoan cực kỳ,Tiêu cực/Nhấn mạnh,Not jubilant extremely
không rạng rỡ quá,Tiêu cực/Nhấn mạnh,Not radiant too much / extremely
không rạng rỡ lắm,Tiêu cực/Nhấn mạnh,Not radiant very much
không rạng rỡ cực kỳ,Tiêu cực/Nhấn mạnh,Not radiant extremely
không sáng tạo quá,Tiêu cực/Nhấn mạnh,Not creative too much / extremely
không sáng tạo lắm,Tiêu cực/Nhấn mạnh,Not creative very much
không sáng tạo cực kỳ,Tiêu cực/Nhấn mạnh,Not creative extremely
không đổi mới quá,Tiêu cực/Nhấn mạnh,Not innovative too much / extremely
không đổi mới lắm,Tiêu cực/Nhấn mạnh,Not innovative very much
không đổi mới cực kỳ,Tiêu cực/Nhấn mạnh,Not innovative extremely
không kiên trì quá,Tiêu cực/Nhấn mạnh,Not persistent too much / extremely
không kiên trì lắm,Tiêu cực/Nhấn mạnh,Not persistent very much
không kiên trì cực kỳ,Tiêu cực/Nhấn mạnh,Not persistent extremely
không bền bỉ quá,Tiêu cực/Nhấn mạnh,Not resilient too much / extremely
không bền bỉ lắm,Tiêu cực/Nhấn mạnh,Not resilient very much
không bền bỉ cực kỳ,Tiêu cực/Nhấn mạnh,Not resilient extremely
không quyết liệt quá,Tiêu cực/Nhấn mạnh,Not drastic/fierce too much / extremely
không quyết liệt lắm,Tiêu cực/Nhấn mạnh,Not drastic/fierce very much
không quyết liệt cực kỳ,Tiêu cực/Nhấn mạnh,Not drastic/fierce extremely
không chủ động quá,Tiêu cực/Nhấn mạnh,Not proactive too much / extremely
không chủ động lắm,Tiêu cực/Nhấn mạnh,Not proactive very much
không chủ động cực kỳ,Tiêu cực/Nhấn mạnh,Not proactive extremely
không tự xin quá,Tiêu cực/Nhấn mạnh,Not confident too much / extremely
không tự xin lắm,Tiêu cực/Nhấn mạnh,Not confident very much
không tự xin cực kỳ,Tiêu cực/Nhấn mạnh,Not confident extremely
không tự tin quá,Tiêu cực/Nhấn mạnh,Not confident too much / extremely
không tự tin lắm,Tiêu cực/Nhấn mạnh,Not confident very much
không tự tin cực kỳ,Tiêu cực/Nhấn mạnh,Not confident extremely
không dũng cảm quá,Tiêu cực/Nhấn mạnh,Not brave/courageous too much / extremely
không dũng cảm lắm,Tiêu cực/Nhấn mạnh,Not brave/courageous very much
không dũng cảm cực kỳ,Tiêu cực/Nhấn mạnh,Not brave/courageous extremely
không kiên cường quá,Tiêu cực/Nhấn mạnh,Not indomitable too much / extremely
không kiên cường lắm,Tiêu cực/Nhấn mạnh,Not indomitable very much
không kiên cường cực kỳ,Tiêu cực/Nhấn mạnh,Not indomitable extremely
không nỗ lực quá,Tiêu cực/Nhấn mạnh,Not effort/striving too much / extremely
không nỗ lực lắm,Tiêu cực/Nhấn mạnh,Not effort/striving very much
không nỗ lực cực kỳ,Tiêu cực/Nhấn mạnh,Not effort/striving extremely
không cố gắng quá,Tiêu cực/Nhấn mạnh,Not trying/endeavoring too much / extremely
không cố gắng lắm,Tiêu cực/Nhấn mạnh,Not trying/endeavoring very much
không cố gắng cực kỳ,Tiêu cực/Nhấn mạnh,Not trying/endeavoring extremely
không hết mình quá,Tiêu cực/Nhấn mạnh,Not wholehearted too much / extremely
không hết mình lắm,Tiêu cực/Nhấn mạnh,Not wholehearted very much
không hết mình cực kỳ,Tiêu cực/Nhấn mạnh,Not wholehearted extremely
không tận tâm quá,Tiêu cực/Nhấn mạnh,Not dedicated too much / extremely
không tận tâm lắm,Tiêu cực/Nhấn mạnh,Not dedicated very much
không tận tâm cực kỳ,Tiêu cực/Nhấn mạnh,Not dedicated extremely
không chu đáo quá,Tiêu cực/Nhấn mạnh,Not thoughtful/attentive too much / extremely
không chu đáo lắm,Tiêu cực/Nhấn mạnh,Not thoughtful/attentive very much
không chu đáo cực kỳ,Tiêu cực/Nhấn mạnh,Not thoughtful/attentive extremely
không sẵn sàng quá,Tiêu cực/Nhấn mạnh,Not ready/willing too much / extremely
không sẵn sàng lắm,Tiêu cực/Nhấn mạnh,Not ready/willing very much
không sẵn sàng cực kỳ,Tiêu cực/Nhấn mạnh,Not ready/willing extremely
không hăng hái quá,Tiêu cực/Nhấn mạnh,Not enthusiastic too much / extremely
không hăng hái lắm,Tiêu cực/Nhấn mạnh,Not enthusiastic very much
không hăng hái cực kỳ,Tiêu cực/Nhấn mạnh,Not enthusiastic extremely
không sôi nổi quá,Tiêu cực/Nhấn mạnh,Not lively/vibrant too much / extremely
không sôi nổi lắm,Tiêu cực/Nhấn mạnh,Not lively/vibrant very much
không sôi nổi cực kỳ,Tiêu cực/Nhấn mạnh,Not lively/vibrant extremely
không tự lực quá,Tiêu cực/Nhấn mạnh,Not self-reliant too much / extremely
không tự lực lắm,Tiêu cực/Nhấn mạnh,Not self-reliant very much
không tự lực cực kỳ,Tiêu cực/Nhấn mạnh,Not self-reliant extremely
không bứt phá quá,Tiêu cực/Nhấn mạnh,Not breaking through too much / extremely
không bứt phá lắm,Tiêu cực/Nhấn mạnh,Not breaking through very much
không bứt phá cực kỳ,Tiêu cực/Nhấn mạnh,Not breaking through extremely
không kiên định quá,Tiêu cực/Nhấn mạnh,Not steadfast too much / extremely
không kiên định lắm,Tiêu cực/Nhấn mạnh,Not steadfast very much
không kiên định cực kỳ,Tiêu cực/Nhấn mạnh,Not steadfast extremely
không tràn đầy năng lượng quá,Tiêu cực/Nhấn mạnh,Not energetic too much / extremely
không tràn đầy năng lượng lắm,Tiêu cực/Nhấn mạnh,Not energetic very much
không tràn đầy năng lượng cực kỳ,Tiêu cực/Nhấn mạnh,Not energetic extremely
không sục sôi quá,Tiêu cực/Nhấn mạnh,Not seething/burning too much / extremely
không sục sôi lắm,Tiêu cực/Nhấn mạnh,Not seething/burning very much
không sục sôi cực kỳ,Tiêu cực/Nhấn mạnh,Not seething/burning extremely
không đồng lòng quá,Tiêu cực/Nhấn mạnh,Not unanimous too much / extremely
không đồng lòng lắm,Tiêu cực/Nhấn mạnh,Not unanimous very much
không đồng lòng cực kỳ,Tiêu cực/Nhấn mạnh,Not unanimous extremely
